name,description,stars,forks,language,readme,topic,summary
cloud-guardrails,Minimum guardrails for GC's cloud operationalization framework.,98,32,JavaScript,"# GC Cloud Guardrails

([Français](#mesures-de-protection-du-nuage-du-gc))

**The latest version of ",cloud-architecture,"GC Cloud Guardrails provides minimum guidelines for operationalizing cloud services within the Government of Canada framework. The repository outlines foundational principles and best practices to ensure secure, efficient, and compliant cloud usage. It includes documentation and resources to help government teams implement these guardrails effectively."
cloud-guardrails-aws,Tools to support cloud guardrails implementation and compliance checks for AWS.,14,9,Shell,"# GC Cloud Guardrails Checks for AWS

This project will provide tools to validate the implementation",cloud-architecture,"This GitHub repository, ""GC Cloud Guardrails Checks for AWS,"" provides tools to validate the implementation of cloud guardrails and perform compliance checks for AWS environments. It aims to support organizations in enforcing best practices and maintaining governance in the cloud. The repository is designed to ensure alignment with predefined guardrails for secure and compliant AWS usage."
cloud-guardrails-azure,Tools to support cloud guardrails implementation and compliance checks for Microsoft Azure.,27,9,PowerShell,"# GC Cloud Guardrails Checks for Azure

This project will host the minimum guardrails as part of the",cloud-architecture,This repository provides tools to implement and verify cloud guardrails and compliance checks for Microsoft Azure. It hosts essential guardrails to ensure secure and compliant cloud usage. The project is designed to support organizations in maintaining governance in their Azure environments.
cloud-guardrails-gcp,Recommended configuration guidance for Google Cloud Platform / Conseils de configuration recommandés pour Platforme infonuagique de Google,23,14,Open Policy Agent,"# GC Cloud Guardrails Checks for Google Cloud Platform

This repository will provide the tools requi",cybersecurity,This repository offers recommended configuration guidance and tools for implementing guardrails and compliance checks on Google Cloud Platform. It aims to enhance security and ensure best practices in cloud environments.
cloud-guardrails-ibm,Tools to support cloud guardrails implementation and compliance checks for IBM Cloud.,4,4,JavaScript,"# Government of Canada Cloud Guardrails Checks for IBM Cloud

This repository will provide the tools",cloud-architecture,"This repository provides tools to implement and verify compliance with cloud guardrails on IBM Cloud, tailored for the Government of Canada. It includes resources to support adherence to governance and regulatory requirements in cloud environments. The tools aim to streamline compliance checks and ensure cloud practices align with established guardrails."
cloud-guardrails-O365,Recommended configuration guidance for Microsoft O365 / Conseils de configuration recommandés pour Microsoft O365,36,11,JavaScript,"# GC Cloud Guardrails for O365

([Français](#mesures-de-sécurité-dinformatique-en-nuage-du-gc-pour-o",cybersecurity,"The repository provides recommended configuration guidance for Microsoft O365, tailored to align with Government of Canada (GC) cloud security practices. It includes a set of best practices, security measures, and guardrails to ensure the secure and efficient use of O365 within organizations. The documentation is available in both English and French, catering to bilingual users."
cloud-guardrails-oracle,Tools to support cloud guardrails implementation and compliance checks for Oracle.,6,2,HCL,"# GC Cloud Guardrails for Oracle

This project will host the minimum guardrails as part of the GC Cl",cloud-architecture,"This repository provides tools to implement and verify cloud guardrails for Oracle environments, ensuring compliance with governance and security standards. It includes a minimal set of predefined guardrails as part of the GC Cloud initiative. The project supports organizations in maintaining secure and compliant cloud operations."
atomium,The very base theme,9,5,PHP,"# Atomium
[![Build Status](https://drone.fpfis.eu/api/badges/ec-europa/atomium/status.svg?branch=7.x",web development,"Atomium is a foundational theme designed for Drupal, serving as a base for building other themes. The repository includes tools and configurations to streamline theme development. It is maintained by ec-europa and features build status tracking via Drone CI."
atomium_europa,A subtheme based on atomium for Europa,0,0,PHP,"# ECL example

Requirements:
-   Node.js >= 6.9.5
-   yarn >= 0.20.3

## Setup

```
yarn
```

## Bui",government-open-source-template,"This repository contains a subtheme for ""Europa"" based on ""Atomium."" It requires Node.js (>= 6.9.5) and Yarn (>= 0.20.3) for setup. The installation involves running `yarn`, and it appears to support building processes, though the README.md is incomplete."
aws-fpfis-repo,No description,0,0,Shell,"# Staging repo to test-build RPM packages for AWS

See https://travis-ci.org/ec-europa/aws-fpfis-rep",cloud-architecture,"This repository serves as a staging environment for testing the build process of RPM packages for AWS. It includes integration with Travis CI for continuous testing, with further details available at the provided Travis CI link."
backtrac-php-client,Backtrac visual regression service - PHP library and phing tasks,2,0,PHP,"# Backtrac PHP client

This projects includes both a client library and a phing helper to trigger vi",visual-regression-testing,Backtrac PHP Client is a library and phing task helper designed for integrating with the Backtrac visual regression service. It enables users to trigger visual regression tests programmatically using PHP or via automation tools like Phing. The repository provides a convenient way to streamline regression testing workflows.
cloudformation-templates,Centrally managed templates for AWS CloudFormation,0,1,None specified,"# cloudformation-templates - DEPRECATED
Centrally managed templates for AWS CloudFormation

This rep",cloud-architecture,"The repository, **cloudformation-templates**, contains centrally managed templates for AWS CloudFormation but has been marked as deprecated. Its purpose was to provide reusable CloudFormation templates for managing AWS resources. Users are advised to seek alternative solutions, as this repository is no longer maintained."
Console_Table,Library that makes it easy to build console style tables.,0,0,PHP,README not available,algorithmic-impact-assessment,"This GitHub repository provides a library designed to simplify the creation of console-style tables. It offers tools and features to format and display tabular data in a clean and structured manner within a console environment. The README file is not available, so further details about usage or examples are not provided."
content-layer-api-specs,No description,1,0,None specified,"# Content layer api definition
",web development,"The repository defines an API for a content layer, likely serving as a foundational structure or interface for managing or interacting with content. The README provides minimal details, focusing solely on its purpose as an API definition. Further documentation or code may be required to understand its full functionality."
cope-api,No description,5,1,JavaScript,"# COPE API

For more information, please read our [Documentation](./docs/README.md).
",government-open-source-template,"The repository, **COPE API**, appears to provide an API, with additional details and usage instructions available in the linked documentation located in the `docs/README.md` file. The README itself contains minimal information."
d7-contrib-updater-scripts,"Shell scripts to update core and contrib modules, respecting local changes (""hacks"").",1,1,Shell,"# Module updater scripts

## Purpose

Shell scripts to update core and contrib modules in Drupal 7 s",drupal-update-scripts,"This repository provides shell scripts designed to update core and contributed modules for Drupal 7 while preserving any local modifications (""hacks""). These scripts aim to streamline the update process, ensuring custom changes are respected."
digit-ict-conf-2016,[DIGIT] DIGITEC Conference 2016,0,0,JavaScript,"# DIGIT-ICT Conference 2016

[![Standard Version](https://img.shields.io/badge/release-standard%20ve",ict-conference,"The DIGIT-ICT Conference 2016 repository appears to host materials related to the DIGITEC Conference held in 2016. It may include resources, documentation, or content used during the event. The README references standard versioning for releases but lacks detailed information about the repository's contents."
digit-ne-varnish,Nexteuropa Varnish - Drupal 7 module.,0,2,PHP,"Table of Contents
- [Nexteuropa Varnish](#nexteuropa-varnish)
    - [Requirements](#requirements)
  ",drupal-update-scripts,Nexteuropa Varnish is a Drupal 7 module designed to integrate and manage Varnish caching for Nexteuropa-based platforms. The repository includes basic requirements and configurations necessary for its implementation. It aims to optimize web performance through efficient caching mechanisms.
digitec,DIGITEC (preview at https://digitec.netlify.app),0,1,JavaScript,"# DIGITEC

Deploys for digitec: https://app.netlify.com/sites/digitec/deploys

## Getting Started (R",web development,"DIGITEC is a web project with a live preview available at https://digitec.netlify.app, deployed via Netlify. The repository provides instructions for getting started with the project, including deployment details. It appears to be a platform or application, though specific functionality isn't detailed in the README.md."
digitec-news,The event-independent website for news and past events.,0,1,JavaScript,"# DIGITEC News

Deploys logs: https://app.netlify.com/sites/digitec-news2020/overview

## Getting St",web development,"DIGITEC News is a website for accessing news and past event information, designed to function independently of specific events. The repository includes deployment logs hosted on Netlify for tracking updates. The README provides minimal instructions, focusing on deployment and setup."
drupal-project,":rocket: Composer template for Drupal projects. Quick installation via ""composer create-project drupal-composer/drupal-project""",0,0,PHP,"# Composer template for Drupal projects

[![Build Status](https://travis-ci.org/drupal-composer/drup",drupal-update-scripts,This GitHub repository provides a Composer template for quickly setting up Drupal projects using the command `composer create-project drupal-composer/drupal-project`. It simplifies the installation process and offers a structured starting point for Drupal development. The project integrates tools and dependencies commonly used in Drupal workflows.
DrupalConsole,"The Drupal Console is a CLI tool to generate boilerplate code, interact and debug Drupal 8.",0,0,PHP,"<!-- START doctoc generated TOC please keep comment here to allow auto update -->
<!-- DON'T EDIT TH",drupal-update-scripts,"The Drupal Console is a command-line interface (CLI) tool designed for Drupal 8 developers. It facilitates the generation of boilerplate code, streamlines interactions with Drupal, and aids in debugging. The tool enhances development efficiency by providing automated code scaffolding and other utilities tailored for Drupal 8 projects."
DrupalDriver,A collection of drivers for controlling Drupal.,0,1,PHP,[![Build Status](https://travis-ci.org/jhedstrom/DrupalDriver.svg?branch=master)](https://travis-ci.,drupal-update-scripts,"The repository provides a collection of drivers for controlling and interacting with Drupal, enabling developers to manage and test Drupal applications programmatically. It includes tools for seamless integration with Drupal's API and testing frameworks. The project is actively maintained, as indicated by its build status integration."
drupalextension,"An integration layer between Behat, Mink Extension, and Drupal.",1,0,PHP,"# Behat Drupal Extension

The Drupal Extension is an integration layer between [Behat](http://behat.",drupal,"The Behat Drupal Extension is an integration layer that connects Behat, Mink Extension, and Drupal. It facilitates the testing of Drupal applications by providing tools and configurations tailored for Drupal-specific functionality. This extension enhances automated behavioral testing for Drupal projects, streamlining the development and quality assurance process."
drush-commands,No description,0,0,PHP,"# drush-module-cleanup

## Installation

* Put the *.inc file into your $HOME/.drush/ folder
* Run d",drupal,"The `drush-module-cleanup` repository provides a Drush script to assist with module cleanup in Drupal projects. To use it, you need to place the `.inc` file in your `$HOME/.drush/` directory. Further details about its functionality are not provided in the README."
easyrdf,EasyRdf is a PHP library designed to make it easy to consume and produce RDF.,0,0,PHP,"EasyRdf
=======

[![Build Status](https://travis-ci.org/njh/easyrdf.svg?branch=master)](https://trav",semantic-web,"EasyRdf is a PHP library that simplifies the consumption and production of RDF (Resource Description Framework) data. It provides tools for parsing, serializing, and querying RDF data with support for multiple formats. The library is designed to be developer-friendly, offering an intuitive API for working with RDF resources and graphs. It is suitable for use in semantic web applications and data integration projects."
ec-europa-theme,Drupal 7 theme for the NextEuropa platform ,4,3,JavaScript,"# Ec-Europa theme
Repository containing the drupal theme for the NextEuropa platform.

The Ec-Europa",drupal,The **Ec-Europa** repository contains a Drupal 7 theme designed specifically for the NextEuropa platform. It provides the necessary theme structure and styling to align with the platform's requirements.
ec-europa-theme-tools,Repository containing modules and features related to the ec-europa-,2,1,PHP,"# ec-europa-theme-tools
Repository containing modules and features related to the ec-europa-
",drupal,"The **ec-europa-theme-tools** repository contains modules and features associated with the EC Europa theme, likely designed to support development and customization within the context of European Commission projects. It serves as a toolkit for implementing or extending functionalities related to the theme. The README provides minimal details about the repository's contents or specific use cases."
ec-europa-tools,Repository for tools/helpers used on the NEXT-Europa project,2,0,PHP,"# EC-EUROPA Tools
Repository for tools/helpers used on the NEXT-Europa project
",drupal,"This GitHub repository contains tools and helper utilities developed for the NEXT-Europa project, an initiative by EC-EUROPA. It serves as a centralized collection of resources to support the project's implementation and functionality."
ec-nems-platform,"[DIGIT] Modules, features and theme for the nems platform",0,3,PHP,"## NEMS Platform Instructions

To incorporate the nems platform into your subsite project with toolk",drupal,"The GitHub repository ""[DIGIT]"" provides modules, features, and themes designed for the NEMS platform. It includes instructions to integrate the NEMS platform into subsite projects using the provided toolkit. The repository appears to be focused on enhancing functionality and user experience for projects utilizing the NEMS platform."
ec-reps-platform,"[COMM] Modules, features and theme for the reps platform",0,4,PHP,"## REPS Platform Instructions

To incorporate the REPS platform into your subsite project you need t",drupal,"The repository provides modules, features, and themes designed for integration with the REPS platform. It facilitates adding functionality to subsites by incorporating the REPS platform components. The README.md offers instructions for integrating these components into subsite projects. Specific implementation details are not fully visible in the excerpt provided."
ec2-autoscaling,Automatically register new spinned servers into SALT database and give the server a correct naming + set a grain for Availability Zone,3,0,Scheme,"ec2-autoscale-reactor
=====================

This is a reactor formula, which allows the autoscaling",cloud-architecture,"The repository, **ec2-autoscale-reactor**, provides a reactor formula for automatically registering newly launched servers into the SALT database. It assigns appropriate server names and sets a grain for the Availability Zone. This tool is designed to facilitate seamless integration of autoscaling servers with SALT infrastructure."
ecas-phpcas-parser,phpcas attribute parser callback for ECAS,2,1,PHP,"#EcasPhpCASParser

## Why
Default parsing of ECAS attributes is currently broken with phpCAS, 
group",phpCAS,EcasPhpCASParser is a tool designed to fix the broken default parsing of ECAS attributes in phpCAS. It provides a custom callback for parsing ECAS attributes to ensure proper handling and functionality. This repository addresses issues with group attribute parsing in particular.
ecl-ssg, Node application using gatsby to generate static websites using ECL webcomponents.,0,1,TypeScript,"<p align=""center"">
  <a href=""https://www.gatsbyjs.com/?utm_source=starter&utm_medium=readme&utm_cam",government-open-source-template,"This repository contains a Node.js application that uses Gatsby to generate static websites incorporating ECL (European Commission Library) web components. It leverages Gatsby's static site generation capabilities to build performant and reusable web solutions. The project is designed for developers seeking to create standardized, component-based websites with ECL designs."
ecl-toolkit,ECL Toolkit,0,3,JavaScript,"# ECL Toolkit

Set of tools we use to build our front-end components.

## Development

### Requireme",web development,The ECL Toolkit is a collection of tools designed for developing front-end components. It provides the necessary utilities and setup for streamlining the front-end development process. The repository includes instructions and requirements for development.
ecl-twig,ECL Twig Components,18,5,JavaScript,"# ECL-Twig Library

[![Build Status](https://drone.fpfis.eu/api/badges/ec-europa/ecl-twig/status.svg",government-open-source-template,ECL-Twig Library is a collection of reusable Twig components designed for the European Commission's design system (ECL). It provides pre-built components and templates to streamline the development of consistent and accessible web interfaces. The repository includes tools for developers to integrate ECL components into projects efficiently and adheres to European Commission standards.
ecl-webcomponents,ECL webcomponents is a new implementation of ECL vanilla components,2,1,TypeScript,"# ECL Web-components

Repository for the implementation and distribution of ECL [Europa component li",web development,"ECL Web-components is a repository for the implementation and distribution of ECL (Europa Component Library) vanilla components as web components. It aims to provide reusable, standardized UI elements for web development. The project simplifies integration and enhances compatibility across platforms."
2021-bootcamp-gds,No description,1,23,TypeScript,"# Bootcamp - Government Digital Services - 2021

A simple web application which implements a Todo li",web development,This repository contains a simple web application developed during the 2021 Government Digital Services Bootcamp. The application implements a basic Todo list functionality. It serves as a learning project to demonstrate web application development concepts.
2022-geekout-gds,No description,2,46,TypeScript,"# Geekout - Government Digital Services - 2022

A simple web application which implements a Todo lis",web development,Geekout - Government Digital Services - 2022 is a lightweight web application designed to manage a Todo list. It provides basic functionality for organizing tasks in a straightforward manner.
ACE-Form-Builder,A React component for building Web forms from JSON Schema.,1,0,JavaScript,"react-jsonschema-form
=====================

[![Build Status](https://travis-ci.org/mozilla-services",web development,"react-jsonschema-form is a React library for dynamically generating web forms based on JSON Schema definitions. It simplifies form creation by automatically rendering form components from a provided JSON Schema and handling form validation. The library is highly customizable, allowing users to tailor the form's appearance and behavior to suit various use cases. It is an open-source project developed and maintained by Mozilla."
adex-ug,ADEX User Guide,3,1,None specified,"# Asynchronous Data Exchange (ADEX)

> Learn about [ADEX](https://adex.gov.sg)
",government-digital-transformation,"The repository provides a user guide for Asynchronous Data Exchange (ADEX), a platform designed to facilitate secure and efficient data sharing between systems. It includes documentation and resources to help users understand and utilize ADEX effectively. For more details, users can visit the official [ADEX website](https://adex.gov.sg)."
amazon-linux-consul,Contains ansible playbook for installation of Consul client agent on AWS EMR cluster.,0,0,Shell,"# `amazon-linux-consul`

This repository is now deprecated and has been subsumed into
[`terraform-mo",cloud-architecture,This repository provided an Ansible playbook for installing the Consul client agent on AWS EMR clusters. It is now deprecated and has been merged into the `terraform-mo` project. Users are advised to refer to the new project for updated functionality.
ansible-rhsso-oracle,This Ansible playbook is to automate the installation to Red Hat Single-Sign-On (RHSSO) in a VM and connect it to an existing Oracle database,0,0,None specified,"# ansible-rhsso-oracle
![](https://img.shields.io/github/release/GovTechSG/ansible-rhsso-oracle.svg?",cloud-architecture,"This repository contains an Ansible playbook designed to automate the installation of Red Hat Single Sign-On (RHSSO) on a virtual machine and configure its integration with an existing Oracle database. It streamlines the deployment process, ensuring efficient and consistent setup. The playbook is ideal for environments requiring secure authentication and centralized identity management with Oracle backend support."
apex-cloud-overview,No description,0,0,None specified,README not available,algorithmic-impact-assessment,"This GitHub repository lacks a description and does not provide a README file. Therefore, no information is available to summarize its purpose or contents."
apex-proxy-node,No description,3,1,TypeScript,"# Archived

This module is no longer actively maintained and should not be used. Consider implementi",archived,"This repository contains an archived module that is no longer actively maintained. It is not recommended for use, and users are advised to consider alternative implementations."
apex-signature-validator,HTTP Signature validator and test client for APEX ,2,2,JavaScript,"![APEX Logo](/assets/color_apex_landscape.png)

# APEX Signature and JOSE Validator

[![Codacy Badge",cybersecurity,The repository provides tools for validating HTTP Signatures and JSON Object Signing and Encryption (JOSE) in APEX environments. It includes a validation utility and a test client to ensure compliance with digital signature standards. The project is designed to streamline secure communication by verifying the authenticity and integrity of HTTP-based requests.
apex-signature-validator-server,No description,1,1,JavaScript,"![APEX Logo](/assets/color_apex_landscape.png)

# APEX Signature and JOSE Validator

The Apex Signat",cybersecurity,"The repository appears to contain the ""APEX Signature and JOSE Validator,"" a tool or library related to validating JSON Object Signing and Encryption (JOSE) signatures. The README.md is incomplete, providing only a partial title and an image reference, with no detailed information about its functionality or usage. Further clarification or additional documentation would be required to fully understand the repository's purpose."
attest,No description,1,0,Shell,"# attest

attest is a tool for downloading terraform and verify that the SHASUM matches the archive.",cybersecurity,"Attest is a tool designed to download Terraform and verify that the SHASUM of the downloaded archive matches its expected value, ensuring the integrity of the file."
base-images,Base images used for internal builds,0,3,Shell,"# Base Containers

[![Build Status](https://github.com/govtechsg/base-images/actions/workflows/build",cloud-architecture,"The repository contains base container images used for internal builds by GovTech Singapore. It includes automated workflows for building and maintaining these images, as indicated by the build status badge in the README. The repository likely serves as a foundational resource for creating consistent and reliable environments for various projects."
batch-gen-csr,Generating CSR for L2 Security,5,3,Shell,"# APEX L2 Certificate Generation Scripts

## Generate the CSR
1. Execute git command to get the scri",cybersecurity,"The repository provides scripts to generate Certificate Signing Requests (CSRs) for Layer 2 (L2) security in APEX systems. The README includes basic instructions, such as using Git commands to retrieve the scripts. It is designed for streamlined certificate generation and security enhancement processes."
bigchaindb-exploration,No description,0,0,HTML,"# Bigchaindb-Exploration

## Quick start on bigchaindb with docker

https://docs.bigchaindb.com/proj",blockchain-database,"The repository ""Bigchaindb-Exploration"" provides resources for quickly starting with BigchainDB using Docker. It references the official BigchainDB documentation for setup guidance."
butler-bot,Telegram bot for booking meeting rooms,19,15,JavaScript,"# Butler Bot
[![Build Status](https://travis-ci.org/GovTechSG/butler-bot.svg?branch=master)](https:/",meeting-room-booking-bot,"The repository contains ""Butler Bot,"" a Telegram bot designed for booking meeting rooms. It automates the scheduling process, allowing users to reserve rooms efficiently via Telegram. The project includes build status tracking and is likely maintained by GovTechSG."
cert-issuer,Issues Blockcerts using the Bitcoin blockchain,0,0,Python,[![Build Status](https://travis-ci.org/blockchain-certificates/cert-issuer.svg?branch=master)](https,blockchain-certificates,"The repository ""cert-issuer"" enables the issuance of Blockcerts using the Bitcoin blockchain. It provides tools and scripts to securely anchor digital certificates to the blockchain, ensuring authenticity and tamper-resistance. The project is designed for developers and institutions looking to implement blockchain-based credentialing systems."
